0;52
1;55
2;51
3;51
4;53
5;51
6;54
7;51
8;53
9;51
10;55
11;59
12;64
13;75
14;55
15;50
16;51
17;50
18;50
19;55
20;50
21;51
22;54
23;51
24;56
25;52
26;50
27;51
28;51
29;52
30;51
31;50
32;50
33;49
34;53
35;56
36;52
37;51
38;49
39;49
40;50
41;52
42;52
43;52
44;51
45;50
46;53
47;52
48;51
49;49
50;52
51;55
52;51
53;52
54;51
55;50
56;51
57;51
58;63
59;60
60;53
61;52
62;52
63;50
64;53
65;51
66;51
67;50
68;50
69;50
70;51
71;51
72;53
73;50
74;52
75;51
76;52
77;53
78;51
79;50
80;51
81;53
82;51
83;51
84;54
85;52
86;51
87;51
88;52
89;51
90;52
91;52
92;51
93;50
94;50
95;50
96;53
97;52
98;49
99;53
100;51
