0;1235;1235;0
1;2469;1235;0
2;3703;1235;1
3;4937;1235;0
4;6172;1235;1
5;7406;1234;3
6;8639;1235;1
7;9874;1235;2
8;11108;1234;1
9;12342;1235;1
10;13576;1235;1
11;14810;1235;2
12;16044;1235;2
13;17279;1234;3
14;18513;1235;1
15;19747;1235;2
16;20981;1234;4
17;22215;1235;1
18;23450;1235;2
19;24684;1235;3
20;25919;1234;3
21;27152;1235;2
22;28387;1235;4
23;29621;1234;4
24;30854;1235;3
25;32089;1235;2
26;33323;1235;2
27;34558;1235;5
28;35792;1234;5
29;37026;1235;4
30;38260;1235;5
31;39495;1235;5
32;40729;1235;4
33;41963;1234;4
34;43197;1234;5
35;44431;1234;6
36;45665;1235;5
37;46899;1234;4
38;48133;1235;6
39;49367;1235;6
40;50601;1234;6
41;51835;1235;6
42;53069;1234;6
43;54303;1234;4
44;55537;1234;7
45;56770;1233;4
46;58003;1235;5
47;59237;1235;5
48;60471;1235;2
49;61706;1235;1
50;62940;1235;5
51;64175;1234;5
52;65409;1234;3
53;66642;1234;5
54;67876;1235;2
55;69110;1235;4
56;70344;1235;4
57;71579;1235;5
58;72813;1234;5
59;74046;1234;5
60;75280;1234;5
61;76513;1235;5
62;77748;1234;3
63;78981;1235;3
64;80216;1235;5
65;81450;1234;4
66;82684;1235;4
67;83918;1234;5
68;85151;1235;6
69;86385;1235;4
70;87620;1235;7
71;88854;1234;6
72;90088;1235;6
73;91322;1235;7
74;92556;1235;4
75;93791;1235;4
76;95025;1235;4
77;96260;1235;6
78;97494;1234;3
79;98728;1235;4
80;99962;1235;3
81;101197;1235;4
82;102431;1235;3
83;103665;1235;3
84;104899;1235;4
85;106134;1234;3
86;107368;1235;4
87;108602;1235;3
88;109836;1235;6
89;111070;1235;6
90;112305;1235;7
91;113539;1235;5
92;114774;1235;6
93;116008;1235;5
94;117243;1235;5
95;118477;1235;4
96;119711;1235;4
97;120946;1235;5
98;122180;1235;5
99;123414;1235;5
